"Indonesian Authors","Papers Published"
Nolang Fanani,1
Avan Suinesiaputra,1
Siska Fitriani,1
Naufal Suryanto,1
Harashta Tatimma Larasati,1
Ardian Umam,1
Agus Gunawan,1
Susanto Rahardja,1
Kevin Pratama,1
Rasyid Aqmar,1
Novi Patricia,1
Christian Siagian,1
Muhammad Adi Nugroho,1
Stefan Lionar,1
Arief A. Suriawinata,1
Julius Surya Sumantri,1
Vanya V. Valindria,1
Muhamad Risqi Utama Saputra,1
Rey Wiyatno,1
Didik Purwanto,1
Derry Wijaya,1
Irwan Prasetya Gunawan,1
Tri Kurniawan Wijaya,1
Moh Edi Wibowo,1
Willy Susilo,2
Williem,2
Ketut Fundana,2
Muhammad Ghifary,2
Rizard Renanda Adhi Pramono,2
Gratianus Wesley Putra Data,2
Indriyati Atmosukarto,3
Marcella Astrid,3
Ivan Himawan,3
Muhammad Haris,3
Ikhsanul Habibie,4
Erman Tjiputra,4
Dicky N. Sihite,4
Dian Tjondronegoro,5
Arridhana Ciptadi,6
Arnold Wiliem,8
Novi Quadrianto,8
Christian Simon,9
Robby T. Tan,33
