"Conference","Year","Number of Papers"
BMVC,2003,81
BMVC,2004,99
BMVC,2005,96
BMVC,2006,130
BMVC,2007,114
BMVC,2008,121
BMVC,2009,125
BMVC,2010,118
BMVC,2011,132
BMVC,2012,136
BMVC,2013,134
BMVC,2014,131
BMVC,2015,190
BMVC,2016,147
BMVC,2017,190
BMVC,2018,279
BMVC,2019,229
BMVC,2020,196
BMVC,2021,435
BMVC,2022,365
CVPR,2003,207
CVPR,2004,258
CVPR,2005,347
CVPR,2006,317
CVPR,2007,537
CVPR,2008,506
CVPR,2009,382
CVPR,2010,461
CVPR,2011,407
CVPR,2012,466
CVPR,2013,471
CVPR,2014,482
CVPR,2015,601
CVPR,2016,643
CVPR,2017,783
CVPR,2018,979
CVPR,2019,1294
CVPR,2020,1465
CVPR,2021,1660
CVPR,2022,2070
CVPR,2023,2355
ECCV,2002,226
ECCV,2004,188
ECCV,2006,192
ECCV,2008,244
ECCV,2010,325
ECCV,2012,408
ECCV,2014,362
ECCV,2016,415
ECCV,2018,776
ECCV,2020,1358
ECCV,2022,1645
ICCV,2003,199
ICCV,2005,244
ICCV,2007,389
ICCV,2009,308
ICCV,2011,340
ICCV,2013,454
ICCV,2015,526
ICCV,2017,621
ICCV,2019,1075
ICCV,2021,1611
WACV,2005,116
WACV,2007,56
WACV,2008,51
WACV,2009,91
WACV,2011,98
WACV,2012,60
WACV,2013,73
WACV,2014,150
WACV,2015,155
WACV,2016,189
WACV,2017,140
WACV,2018,222
WACV,2019,230
WACV,2020,379
WACV,2021,407
WACV,2022,406
WACV,2023,639
