"Conference","Year","Number of Papers","Number of Authors"
BMVC,2007,1,1
BMVC,2011,1,1
BMVC,2013,2,2
BMVC,2017,1,1
BMVC,2020,1,1
BMVC,2021,2,2
BMVC,2022,1,1
CVPR,2003,2,2
CVPR,2005,1,1
CVPR,2008,1,1
CVPR,2009,1,1
CVPR,2010,3,3
CVPR,2012,1,1
CVPR,2013,1,1
CVPR,2014,2,2
CVPR,2015,3,3
CVPR,2016,5,3
CVPR,2017,1,1
CVPR,2018,3,3
CVPR,2019,4,4
CVPR,2020,8,6
CVPR,2021,6,3
CVPR,2022,2,3
CVPR,2023,7,4
ECCV,2008,1,1
ECCV,2012,2,2
ECCV,2014,2,2
ECCV,2016,1,1
ECCV,2018,3,3
ECCV,2020,7,6
ECCV,2022,5,5
ICCV,2003,2,1
ICCV,2005,1,1
ICCV,2007,2,2
ICCV,2009,3,3
ICCV,2013,2,2
ICCV,2015,5,4
ICCV,2019,6,5
ICCV,2021,3,3
WACV,2009,1,1
WACV,2011,2,2
WACV,2012,1,1
WACV,2013,3,4
WACV,2014,4,2
WACV,2015,1,1
WACV,2016,2,1
WACV,2017,1,1
WACV,2018,1,1
WACV,2020,1,1
WACV,2021,2,2
WACV,2022,2,1
WACV,2023,2,2
