Paper Title,Author Names,Author URLs,Conference Name,Conference Year
Guided Image Filtering.,Kaiming He,https://dblp.org/pid/34/7659.html,ECCV,2010
Guided Image Filtering.,Jian Sun,https://dblp.org/pid/68/4942-1.html,ECCV,2010
Guided Image Filtering.,Xiaoou Tang,https://dblp.org/pid/04/5226.html,ECCV,2010
Analysis of Motion Blur with a Flutter Shutter Camera for Non-linear Motion.,Yuanyuan Ding,https://dblp.org/pid/93/3020.html,ECCV,2010
Analysis of Motion Blur with a Flutter Shutter Camera for Non-linear Motion.,Scott McCloskey,https://dblp.org/pid/30/44.html,ECCV,2010
Analysis of Motion Blur with a Flutter Shutter Camera for Non-linear Motion.,Jingyi Yu,https://dblp.org/pid/58/4808.html,ECCV,2010
Error-Tolerant Image Compositing.,Michael W. Tao,https://dblp.org/pid/46/7077.html,ECCV,2010
Error-Tolerant Image Compositing.,Micah K. Johnson,https://dblp.org/pid/46/3417.html,ECCV,2010
Error-Tolerant Image Compositing.,Sylvain Paris,https://dblp.org/pid/p/SylvainParis.html,ECCV,2010
Blind Reflectometry.,Fabiano Romeiro,https://dblp.org/pid/80/6642.html,ECCV,2010
Blind Reflectometry.,Todd E. Zickler,https://dblp.org/pid/33/2279.html,ECCV,2010
Photometric Stereo for Dynamic Surface Orientations.,Hyeongwoo Kim,https://dblp.org/pid/58/4700.html,ECCV,2010
Photometric Stereo for Dynamic Surface Orientations.,Bennett Wilburn,https://dblp.org/pid/83/3510.html,ECCV,2010
Photometric Stereo for Dynamic Surface Orientations.,Moshe Ben-Ezra,https://dblp.org/pid/48/6291.html,ECCV,2010
Fully Isotropic Fast Marching Methods on Cartesian Grids.,Vikram V. Appia,https://dblp.org/pid/63/8363.html,ECCV,2010
Fully Isotropic Fast Marching Methods on Cartesian Grids.,Anthony J. Yezzi,https://dblp.org/pid/y/AJYezzi.html,ECCV,2010
Descattering Transmission via Angular Filtering.,Jaewon Kim,https://dblp.org/pid/00/4936.html,ECCV,2010
Descattering Transmission via Angular Filtering.,Douglas Lanman,https://dblp.org/pid/46/4485.html,ECCV,2010
Descattering Transmission via Angular Filtering.,Yasuhiro Mukaigawa,https://dblp.org/pid/19/5956.html,ECCV,2010
Descattering Transmission via Angular Filtering.,Ramesh Raskar,https://dblp.org/pid/r/RameshRaskar.html,ECCV,2010
Flexible Voxels for Motion-Aware Videography.,Mohit Gupta,https://dblp.org/pid/g/MohitGupta.html,ECCV,2010
Flexible Voxels for Motion-Aware Videography.,Amit K. Agrawal,https://dblp.org/pid/a/AmitKAgrawal.html,ECCV,2010
Flexible Voxels for Motion-Aware Videography.,Ashok Veeraraghavan,https://dblp.org/pid/84/858.html,ECCV,2010
Flexible Voxels for Motion-Aware Videography.,Srinivasa G. Narasimhan,https://dblp.org/pid/57/2011.html,ECCV,2010
Learning PDEs for Image Restoration via Optimal Control.,Risheng Liu,https://dblp.org/pid/82/8066.html,ECCV,2010
Learning PDEs for Image Restoration via Optimal Control.,Zhouchen Lin,https://dblp.org/pid/l/ZhouchenLin.html,ECCV,2010
Learning PDEs for Image Restoration via Optimal Control.,Wei Zhang,https://dblp.org/pid/239/6045.html,ECCV,2010
Learning PDEs for Image Restoration via Optimal Control.,Zhixun Su,https://dblp.org/pid/96/4421.html,ECCV,2010
Compressive Acquisition of Dynamic Scenes.,Aswin C. Sankaranarayanan,https://dblp.org/pid/68/4264.html,ECCV,2010
Compressive Acquisition of Dynamic Scenes.,Pavan K. Turaga,https://dblp.org/pid/80/1682.html,ECCV,2010
Compressive Acquisition of Dynamic Scenes.,Richard G. Baraniuk,https://dblp.org/pid/32/2804.html,ECCV,2010
Compressive Acquisition of Dynamic Scenes.,Rama Chellappa,https://dblp.org/pid/c/RamaChellappa.html,ECCV,2010
Scene Carving: Scene Consistent Image Retargeting.,Alex Mansfield,https://dblp.org/pid/33/8611.html,ECCV,2010
Scene Carving: Scene Consistent Image Retargeting.,Peter V. Gehler,https://dblp.org/pid/78/1502.html,ECCV,2010
Scene Carving: Scene Consistent Image Retargeting.,Luc Van Gool,https://dblp.org/pid/61/5017.html,ECCV,2010
Scene Carving: Scene Consistent Image Retargeting.,Carsten Rother,https://dblp.org/pid/r/CarstenRother.html,ECCV,2010
Two-Phase Kernel Estimation for Robust Motion Deblurring.,Li Xu,https://dblp.org/pid/85/2168-1.html,ECCV,2010
Two-Phase Kernel Estimation for Robust Motion Deblurring.,Jiaya Jia,https://dblp.org/pid/31/5649.html,ECCV,2010
Single Image Deblurring Using Motion Density Functions.,Ankit Gupta,https://dblp.org/pid/65/2886-2.html,ECCV,2010
Single Image Deblurring Using Motion Density Functions.,Neel Joshi,https://dblp.org/pid/08/3966.html,ECCV,2010
Single Image Deblurring Using Motion Density Functions.,C. Lawrence Zitnick,https://dblp.org/pid/10/6888.html,ECCV,2010
Single Image Deblurring Using Motion Density Functions.,Michael F. Cohen,https://dblp.org/pid/07/1994.html,ECCV,2010
Single Image Deblurring Using Motion Density Functions.,Brian Curless,https://dblp.org/pid/c/BrianCurless.html,ECCV,2010
An Iterative Method with General Convex Fidelity Term for Image Restoration.,Miyoun Jung,https://dblp.org/pid/99/2776.html,ECCV,2010
An Iterative Method with General Convex Fidelity Term for Image Restoration.,Elena Resmerita,https://dblp.org/pid/87/8610.html,ECCV,2010
An Iterative Method with General Convex Fidelity Term for Image Restoration.,Luminita A. Vese,https://dblp.org/pid/69/1294.html,ECCV,2010
One-Shot Optimal Exposure Control.,David Ilstrup,https://dblp.org/pid/29/8611.html,ECCV,2010
One-Shot Optimal Exposure Control.,Roberto Manduchi,https://dblp.org/pid/m/RobertoManduchi.html,ECCV,2010
Analyzing Depth from Coded Aperture Sets.,Anat Levin,https://dblp.org/pid/35/4557.html,ECCV,2010
We Are Family: Joint Pose Estimation of Multiple Persons.,Marcin Eichner,https://dblp.org/pid/25/8610.html,ECCV,2010
We Are Family: Joint Pose Estimation of Multiple Persons.,Vittorio Ferrari,https://dblp.org/pid/16/3608.html,ECCV,2010
"Joint People, Event, and Location Recognition in Personal Photo Collections Using Cross-Domain Context.",Dahua Lin,https://dblp.org/pid/53/6088.html,ECCV,2010
"Joint People, Event, and Location Recognition in Personal Photo Collections Using Cross-Domain Context.",Ashish Kapoor,https://dblp.org/pid/93/161.html,ECCV,2010
"Joint People, Event, and Location Recognition in Personal Photo Collections Using Cross-Domain Context.",Gang Hua,https://dblp.org/pid/75/5209.html,ECCV,2010
"Joint People, Event, and Location Recognition in Personal Photo Collections Using Cross-Domain Context.",Simon Baker,https://dblp.org/pid/85/2539.html,ECCV,2010
Chrono-Gait Image: A Novel Temporal Template for Gait Recognition.,Chen Wang,https://dblp.org/pid/82/4206.html,ECCV,2010
Chrono-Gait Image: A Novel Temporal Template for Gait Recognition.,Junping Zhang,https://dblp.org/pid/02/5388.html,ECCV,2010
Chrono-Gait Image: A Novel Temporal Template for Gait Recognition.,Jian Pu,https://dblp.org/pid/43/6295.html,ECCV,2010
Chrono-Gait Image: A Novel Temporal Template for Gait Recognition.,Xiaoru Yuan,https://dblp.org/pid/36/2050.html,ECCV,2010
Chrono-Gait Image: A Novel Temporal Template for Gait Recognition.,Liang Wang,https://dblp.org/pid/56/4499-1.html,ECCV,2010
Robust Face Recognition Using Probabilistic Facial Trait Code.,Ping-Han Lee,https://dblp.org/pid/13/6047.html,ECCV,2010
Robust Face Recognition Using Probabilistic Facial Trait Code.,Gee-Sern Hsu,https://dblp.org/pid/64/3643.html,ECCV,2010
Robust Face Recognition Using Probabilistic Facial Trait Code.,Szu-Wei Wu,https://dblp.org/pid/75/7642.html,ECCV,2010
Robust Face Recognition Using Probabilistic Facial Trait Code.,Yi-Ping Hung,https://dblp.org/pid/21/1331.html,ECCV,2010
A 2D Human Body Model Dressed in Eigen Clothing.,Peng Guan,https://dblp.org/pid/93/3905.html,ECCV,2010
A 2D Human Body Model Dressed in Eigen Clothing.,Oren Freifeld,https://dblp.org/pid/96/5159.html,ECCV,2010
A 2D Human Body Model Dressed in Eigen Clothing.,Michael J. Black,https://dblp.org/pid/b/MichaelJBlack.html,ECCV,2010
Self-Adapting Feature Layers.,Pia Breuer,https://dblp.org/pid/25/1855.html,ECCV,2010
Self-Adapting Feature Layers.,Volker Blanz,https://dblp.org/pid/b/VolkerBlanz.html,ECCV,2010
Face Recognition with Patterns of Oriented Edge Magnitudes.,Ngoc-Son Vu,https://dblp.org/pid/11/8109.html,ECCV,2010
Face Recognition with Patterns of Oriented Edge Magnitudes.,Alice Caplier,https://dblp.org/pid/44/6708.html,ECCV,2010
Spatial-Temporal Granularity-Tunable Gradients Partition (STGGP) Descriptors for Human Detection.,Yazhou Liu,https://dblp.org/pid/89/6788.html,ECCV,2010
Spatial-Temporal Granularity-Tunable Gradients Partition (STGGP) Descriptors for Human Detection.,Shiguang Shan,https://dblp.org/pid/s/ShiguangShan.html,ECCV,2010
Spatial-Temporal Granularity-Tunable Gradients Partition (STGGP) Descriptors for Human Detection.,Xilin Chen,https://dblp.org/pid/c/XilinChen.html,ECCV,2010
Spatial-Temporal Granularity-Tunable Gradients Partition (STGGP) Descriptors for Human Detection.,Janne Heikkilä,https://dblp.org/pid/25/4802.html,ECCV,2010
Spatial-Temporal Granularity-Tunable Gradients Partition (STGGP) Descriptors for Human Detection.,Wen Gao,https://dblp.org/pid/g/WenGao.html,ECCV,2010
Spatial-Temporal Granularity-Tunable Gradients Partition (STGGP) Descriptors for Human Detection.,Matti Pietikäinen,https://dblp.org/pid/95/4955.html,ECCV,2010
Being John Malkovich.,Ira Kemelmacher-Shlizerman,https://dblp.org/pid/k/IraKemelmacher.html,ECCV,2010
Being John Malkovich.,Aditya Sankar,https://dblp.org/pid/95/909.html,ECCV,2010
Being John Malkovich.,Eli Shechtman,https://dblp.org/pid/50/1918.html,ECCV,2010
Being John Malkovich.,Steven M. Seitz,https://dblp.org/pid/s/StevenMSeitz.html,ECCV,2010
Facial Contour Labeling via Congealing.,Xiaoming Liu,https://dblp.org/pid/l/XiaomingLiu0002.html,ECCV,2010
Facial Contour Labeling via Congealing.,Yan Tong,https://dblp.org/pid/20/2146.html,ECCV,2010
Facial Contour Labeling via Congealing.,Frederick W. Wheeler,https://dblp.org/pid/56/921.html,ECCV,2010
Facial Contour Labeling via Congealing.,Peter H. Tu,https://dblp.org/pid/97/2416.html,ECCV,2010
Cascaded Confidence Filtering for Improved Tracking-by-Detection.,Severin Stalder,https://dblp.org/pid/99/8610.html,ECCV,2010
Cascaded Confidence Filtering for Improved Tracking-by-Detection.,Helmut Grabner,https://dblp.org/pid/25/1065.html,ECCV,2010
Cascaded Confidence Filtering for Improved Tracking-by-Detection.,Luc Van Gool,https://dblp.org/pid/61/5017.html,ECCV,2010
Inter-camera Association of Multi-target Tracks by On-Line Learned Appearance Affinity Models.,Cheng-Hao Kuo,https://dblp.org/pid/38/3578.html,ECCV,2010
Inter-camera Association of Multi-target Tracks by On-Line Learned Appearance Affinity Models.,Chang Huang,https://dblp.org/pid/17/2241.html,ECCV,2010
Inter-camera Association of Multi-target Tracks by On-Line Learned Appearance Affinity Models.,Ram Nevatia,https://dblp.org/pid/n/RamakantNevatia.html,ECCV,2010
Multi-person Tracking with Sparse Detection and Continuous Segmentation.,Dennis Mitzel,https://dblp.org/pid/35/7272.html,ECCV,2010
Multi-person Tracking with Sparse Detection and Continuous Segmentation.,Esther Horbert,https://dblp.org/pid/26/8484.html,ECCV,2010
Multi-person Tracking with Sparse Detection and Continuous Segmentation.,Andreas Ess,https://dblp.org/pid/44/2873.html,ECCV,2010
Multi-person Tracking with Sparse Detection and Continuous Segmentation.,Bastian Leibe,https://dblp.org/pid/41/1228.html,ECCV,2010
Closed-Loop Adaptation for Robust Tracking.,Jialue Fan,https://dblp.org/pid/52/277.html,ECCV,2010
Closed-Loop Adaptation for Robust Tracking.,Xiaohui Shen,https://dblp.org/pid/88/6582.html,ECCV,2010
Closed-Loop Adaptation for Robust Tracking.,Ying Wu,https://dblp.org/pid/64/5840-1.html,ECCV,2010
Gaussian-Like Spatial Priors for Articulated Tracking.,Søren Hauberg,https://dblp.org/pid/39/7226.html,ECCV,2010
Gaussian-Like Spatial Priors for Articulated Tracking.,Stefan Sommer,https://dblp.org/pid/79/8396.html,ECCV,2010
Gaussian-Like Spatial Priors for Articulated Tracking.,Kim Steenstrup Pedersen,https://dblp.org/pid/22/3613.html,ECCV,2010
Dense Point Trajectories by GPU-Accelerated Large Displacement Optical Flow.,Narayanan Sundaram,https://dblp.org/pid/30/3638.html,ECCV,2010
Dense Point Trajectories by GPU-Accelerated Large Displacement Optical Flow.,Thomas Brox,https://dblp.org/pid/97/4586.html,ECCV,2010
Dense Point Trajectories by GPU-Accelerated Large Displacement Optical Flow.,Kurt Keutzer,https://dblp.org/pid/k/KurtKeutzer.html,ECCV,2010
Improving Data Association by Joint Modeling of Pedestrian Trajectories and Groupings.,Stefano Pellegrini,https://dblp.org/pid/45/8610.html,ECCV,2010
Improving Data Association by Joint Modeling of Pedestrian Trajectories and Groupings.,Andreas Ess,https://dblp.org/pid/44/2873.html,ECCV,2010
Improving Data Association by Joint Modeling of Pedestrian Trajectories and Groupings.,Luc Van Gool,https://dblp.org/pid/61/5017.html,ECCV,2010
Globally Optimal Multi-target Tracking on a Hexagonal Lattice.,Anton Andriyenko,https://dblp.org/pid/62/7594.html,ECCV,2010
Globally Optimal Multi-target Tracking on a Hexagonal Lattice.,Konrad Schindler,https://dblp.org/pid/73/488.html,ECCV,2010
Discriminative Spatial Attention for Robust Tracking.,Jialue Fan,https://dblp.org/pid/52/277.html,ECCV,2010
Discriminative Spatial Attention for Robust Tracking.,Ying Wu,https://dblp.org/pid/64/5840-1.html,ECCV,2010
Discriminative Spatial Attention for Robust Tracking.,Shengyang Dai,https://dblp.org/pid/12/5833.html,ECCV,2010
"Object, Scene and Actions: Combining Multiple Features for Human Action Recognition.",Nazli Ikizler-Cinbis,https://dblp.org/pid/06/8611.html,ECCV,2010
"Object, Scene and Actions: Combining Multiple Features for Human Action Recognition.",Stan Sclaroff,https://dblp.org/pid/s/StanSclaroff.html,ECCV,2010
Representing Pairwise Spatial and Temporal Relations for Action Recognition.,Pyry Matikainen,https://dblp.org/pid/26/8611.html,ECCV,2010
Representing Pairwise Spatial and Temporal Relations for Action Recognition.,Martial Hebert,https://dblp.org/pid/h/MartialHebert.html,ECCV,2010
Representing Pairwise Spatial and Temporal Relations for Action Recognition.,Rahul Sukthankar,https://dblp.org/pid/57/3775.html,ECCV,2010
Compact Video Description for Copy Detection with Precise Temporal Alignment.,Matthijs Douze,https://dblp.org/pid/64/5801.html,ECCV,2010
Compact Video Description for Copy Detection with Precise Temporal Alignment.,Hervé Jégou,https://dblp.org/pid/19/2115.html,ECCV,2010
Compact Video Description for Copy Detection with Precise Temporal Alignment.,Cordelia Schmid,https://dblp.org/pid/s/CordeliaSchmid.html,ECCV,2010
