Paper Title,Author Names,Author URLs,Conference Name,Conference Year
Introductory message from WACV 2009 general chair.,Bryan S. Morse,https://dblp.org/pid/m/BryanSMorse.html,WACV,2009
Human action recognition using Recursive Self Organizing map and longest common subsequence matching.,Wei Huang,https://dblp.org/pid/81/6685-29.html,WACV,2009
Human action recognition using Recursive Self Organizing map and longest common subsequence matching.,Q. M. Jonathan Wu,https://dblp.org/pid/w/QMJonathanWu.html,WACV,2009
Attribute-based people search in surveillance environments.,Daniel A. Vaquero,https://dblp.org/pid/46/2513.html,WACV,2009
Attribute-based people search in surveillance environments.,Rogério Schmidt Feris,https://dblp.org/pid/f/RogerioSchmidtFeris.html,WACV,2009
Attribute-based people search in surveillance environments.,Duan Tran,https://dblp.org/pid/84/857.html,WACV,2009
Attribute-based people search in surveillance environments.,Lisa M. Brown,https://dblp.org/pid/b/LisaMGBrown.html,WACV,2009
Attribute-based people search in surveillance environments.,Arun Hampapur,https://dblp.org/pid/85/5451.html,WACV,2009
Attribute-based people search in surveillance environments.,Matthew A. Turk,https://dblp.org/pid/61/3381.html,WACV,2009
Extensive articulated human detection by voting Cluster Boosted Tree.,Bo Yang,https://dblp.org/pid/46/999-8.html,WACV,2009
Extensive articulated human detection by voting Cluster Boosted Tree.,Chang Huang,https://dblp.org/pid/17/2241.html,WACV,2009
Extensive articulated human detection by voting Cluster Boosted Tree.,Ram Nevatia,https://dblp.org/pid/n/RamakantNevatia.html,WACV,2009
Video object detection speedup using staggered sampling.,Darryl Greig,https://dblp.org/pid/33/3232.html,WACV,2009
Medical volume image summarization.,Feng Ding,https://dblp.org/pid/77/6146-14.html,WACV,2009
Medical volume image summarization.,Hao Li,https://dblp.org/pid/17/5705-32.html,WACV,2009
Medical volume image summarization.,Yuan Cheng,https://dblp.org/pid/15/5135-5.html,WACV,2009
Medical volume image summarization.,Wee Kheng Leow,https://dblp.org/pid/35/3964.html,WACV,2009
Iterative self-dual reconstruction on radar image recovery.,Charles Iury Oliveira Martins,https://dblp.org/pid/23/8107.html,WACV,2009
Iterative self-dual reconstruction on radar image recovery.,Daniela Mayumi Ushizima,https://dblp.org/pid/79/5182.html,WACV,2009
Iterative self-dual reconstruction on radar image recovery.,Fátima N. S. de Medeiros,https://dblp.org/pid/47/8106.html,WACV,2009
Iterative self-dual reconstruction on radar image recovery.,Francisco Nivando Bezerra,https://dblp.org/pid/87/4441.html,WACV,2009
Iterative self-dual reconstruction on radar image recovery.,Régis C. P. Marques,https://dblp.org/pid/10/1483.html,WACV,2009
Iterative self-dual reconstruction on radar image recovery.,Nelson D. A. Mascarenhas,https://dblp.org/pid/41/2902.html,WACV,2009
Improving edge detection in highly noised sheet-metal images.,Antonio Javier Gallego,https://dblp.org/pid/54/1887.html,WACV,2009
Improving edge detection in highly noised sheet-metal images.,Jorge Calera-Rubio,https://dblp.org/pid/97/4274.html,WACV,2009
Colorization of natural images via L1 optimization.,Alexander Balinsky,https://dblp.org/pid/96/6624.html,WACV,2009
Colorization of natural images via L1 optimization.,Nassir Mohammad,https://dblp.org/pid/44/4605.html,WACV,2009
Automatically detecting the small group structure of a crowd.,Weina Ge,https://dblp.org/pid/50/5613.html,WACV,2009
Automatically detecting the small group structure of a crowd.,Robert T. Collins,https://dblp.org/pid/76/2806.html,WACV,2009
Automatically detecting the small group structure of a crowd.,Barry Ruback,https://dblp.org/pid/27/10073.html,WACV,2009
Comparison between EOG and high frame rate camera for drowsiness detection.,Antoine Picot,https://dblp.org/pid/12/6527.html,WACV,2009
Comparison between EOG and high frame rate camera for drowsiness detection.,Alice Caplier,https://dblp.org/pid/44/6708.html,WACV,2009
Comparison between EOG and high frame rate camera for drowsiness detection.,Sylvie Charbonnier,https://dblp.org/pid/18/6217.html,WACV,2009
"Multi-view traffic sign detection, recognition, and 3D localisation.",Radu Timofte,https://dblp.org/pid/24/8616.html,WACV,2009
"Multi-view traffic sign detection, recognition, and 3D localisation.",Karel Zimmermann,https://dblp.org/pid/06/116.html,WACV,2009
"Multi-view traffic sign detection, recognition, and 3D localisation.",Luc Van Gool,https://dblp.org/pid/61/5017.html,WACV,2009
Nuclear pleomorphism scoring by selective cell nuclei detection.,Jean-Romain Dalle,https://dblp.org/pid/88/10072.html,WACV,2009
Nuclear pleomorphism scoring by selective cell nuclei detection.,Hao Li,https://dblp.org/pid/17/5705-32.html,WACV,2009
Nuclear pleomorphism scoring by selective cell nuclei detection.,Chao-Hui Huang,https://dblp.org/pid/41/6884.html,WACV,2009
Nuclear pleomorphism scoring by selective cell nuclei detection.,Wee Kheng Leow,https://dblp.org/pid/35/3964.html,WACV,2009
Nuclear pleomorphism scoring by selective cell nuclei detection.,Daniel Racoceanu,https://dblp.org/pid/63/4416.html,WACV,2009
Nuclear pleomorphism scoring by selective cell nuclei detection.,Thomas C. Putti,https://dblp.org/pid/48/3606.html,WACV,2009
A fast multi-channel edge detection algorithm for vision-based autonomous spacecraft docking.,Wei Xu,https://dblp.org/pid/32/1213.html,WACV,2009
A fast multi-channel edge detection algorithm for vision-based autonomous spacecraft docking.,Jane Mulligan,https://dblp.org/pid/24/3997.html,WACV,2009
Stable text line detection.,Jaime S. Cardoso,https://dblp.org/pid/65/5236.html,WACV,2009
Uniform image and camera access.,Gregor Miller,https://dblp.org/pid/30/6326.html,WACV,2009
Uniform image and camera access.,Sidney S. Fels,https://dblp.org/pid/f/SidneyFels.html,WACV,2009
Building extraction and change detection in multitemporal remotely sensed images with multiple birth and death dynamics.,Csaba Benedek,https://dblp.org/pid/15/3579.html,WACV,2009
Building extraction and change detection in multitemporal remotely sensed images with multiple birth and death dynamics.,Xavier Descombes,https://dblp.org/pid/60/3958.html,WACV,2009
Building extraction and change detection in multitemporal remotely sensed images with multiple birth and death dynamics.,Josiane Zerubia,https://dblp.org/pid/z/JosianeZerubia.html,WACV,2009
A fast multi-model approach for object duplicate extraction.,Paolo Piccinini,https://dblp.org/pid/39/3068.html,WACV,2009
A fast multi-model approach for object duplicate extraction.,Andrea Prati,https://dblp.org/pid/p/AndreaPrati.html,WACV,2009
A fast multi-model approach for object duplicate extraction.,Rita Cucchiara,https://dblp.org/pid/c/RitaCucchiara.html,WACV,2009
Automatic marker detection for blob images.,António dos Anjos,https://dblp.org/pid/16/4084.html,WACV,2009
Automatic marker detection for blob images.,Hamid Reza Shahbazkia,https://dblp.org/pid/76/3782.html,WACV,2009
Automatic analysis of flourescence labeled neurites in microscope images.,Danny Misiak,https://dblp.org/pid/54/1396.html,WACV,2009
Automatic analysis of flourescence labeled neurites in microscope images.,Stefan Posch,https://dblp.org/pid/p/StefanPosch.html,WACV,2009
Automatic analysis of flourescence labeled neurites in microscope images.,Nadine Stöhr,https://dblp.org/pid/21/8614.html,WACV,2009
Automatic analysis of flourescence labeled neurites in microscope images.,Stefan Hüttelmaier,https://dblp.org/pid/36/8617.html,WACV,2009
Automatic analysis of flourescence labeled neurites in microscope images.,Birgit Möller,https://dblp.org/pid/83/2813-1.html,WACV,2009
Action recognition via multi-feature fusion and Gaussian process classification.,Liang Wang,https://dblp.org/pid/56/4499-1.html,WACV,2009
Action recognition via multi-feature fusion and Gaussian process classification.,Hang Zhou,https://dblp.org/pid/26/3707-5.html,WACV,2009
Action recognition via multi-feature fusion and Gaussian process classification.,Sui-Chien Low,https://dblp.org/pid/12/10073.html,WACV,2009
Action recognition via multi-feature fusion and Gaussian process classification.,Christopher Leckie,https://dblp.org/pid/73/1139.html,WACV,2009
Wavelet-based compressive Super-Resolution.,Na Fan,https://dblp.org/pid/90/7606.html,WACV,2009
Real-time inference of 3D human poses by assembling local patches.,Kota Hara,https://dblp.org/pid/46/9606.html,WACV,2009
Analyzing human interactions with a network of dynamic probabilistic models.,Heung-Il Suk,https://dblp.org/pid/90/5988.html,WACV,2009
Analyzing human interactions with a network of dynamic probabilistic models.,Bong-Kee Sin,https://dblp.org/pid/16/50.html,WACV,2009
Analyzing human interactions with a network of dynamic probabilistic models.,Seong-Whan Lee,https://dblp.org/pid/l/SeongWhanLee.html,WACV,2009
Sign language spotting based on semi-Markov Conditional Random Field.,Seong-Sik Cho,https://dblp.org/pid/16/10073.html,WACV,2009
Sign language spotting based on semi-Markov Conditional Random Field.,Hee-Deok Yang,https://dblp.org/pid/00/245.html,WACV,2009
